-10,10,1
-10,9,2
-10,8,2
-10,7,2
-10,6,2
-10,5,2
-10,4,5
-10,3,5
-10,2,5
-10,1,5
-10,0,5
-9,9,1
-9,8,2
-9,7,2
-9,6,2
-9,5,2
-9,4,5
-9,3,5
-9,2,5
-9,1,5
-9,0,5
-8,9,1
-8,8,2
-8,7,2
-8,6,2
-8,5,2
-8,4,2
-8,3,5
-8,2,5
-8,1,5
-8,0,5
-7,10,1
-7,9,2
-7,8,2
-7,7,2
-7,6,2
-7,5,2
-7,4,5
-7,3,5
-7,2,5
-7,1,5
-7,0,5
-6,10,1
-6,9,2
-6,8,2
-6,7,2
-6,6,2
-6,5,2
-6,4,5
-6,3,5
-6,2,5
-6,1,5
-6,0,5
-5,11,1
-5,10,2
-5,9,2
-5,8,2
-5,7,2
-5,6,2
-5,5,5
-5,4,5
-5,3,5
-5,2,5
-5,1,5
-5,0,5
-4,10,1
-4,9,2
-4,8,2
-4,7,2
-4,6,2
-4,5,5
-4,4,5
-4,3,5
-4,2,5
-4,1,5
-4,0,5
-3,10,3
-3,11,3
-3,12,3
-3,13,3
-3,14,3
-3,15,3
-3,16,3
-3,17,3
-7,18,4
-6,18,4
-5,18,4
-4,18,4
-3,18,4
-2,18,4
-1,18,4
0,18,4
1,18,4
-7,19,4
-6,19,4
-5,19,4
-4,19,4
-3,19,4
-2,19,4
-1,19,4
0,19,4
1,19,4
-6,20,4
-5,20,4
-4,20,4
-3,20,4
-2,20,4
-1,20,4
0,20,4
-6,21,4
-5,21,4
-4,21,4
-3,21,4
-2,21,4
-1,21,4
0,21,4
-5,22,4
-4,22,4
-3,22,4
-2,22,4
-1,22,4
-5,23,4
-4,23,4
-3,23,4
-2,23,4
-1,23,4
-4,24,4
-3,24,4
-2,24,4
-4,25,4
-3,25,4
-2,25,4
-3,9,2
-3,8,2
-3,7,2
-3,6,2
-3,5,2
-3,4,5
-3,3,5
-3,2,5
-3,1,5
-3,0,5
-2,9,1
-2,8,2
-2,7,2
-2,6,2
-2,5,2
-2,4,5
-2,3,5
-2,2,5
-2,1,5
-2,0,5
-1,9,1
-1,8,2
-1,7,2
-1,6,2
-1,5,2
-1,4,5
-1,3,5
-1,2,5
-1,1,5
-1,0,5
0,8,1
0,7,2
0,6,2
0,5,2
0,4,2
0,3,5
0,2,5
0,1,5
0,0,5
1,8,1
1,7,2
1,6,2
1,5,2
1,4,2
1,3,2
1,2,5
1,1,5
1,0,5
2,7,1
2,6,2
2,5,2
2,4,2
2,3,2
2,2,5
2,1,5
2,0,5
3,8,1
3,7,2
3,6,2
3,5,2
3,4,2
3,3,5
3,2,5
3,1,5
3,0,5
4,9,1
4,8,2
4,7,2
4,6,2
4,5,2
4,4,5
4,3,5
4,2,5
4,1,5
4,0,5
5,9,1
5,8,2
5,7,2
5,6,2
5,5,2
5,4,5
5,3,5
5,2,5
5,1,5
5,0,5
6,10,1
6,9,2
6,8,2
6,7,2
6,6,2
6,5,2
6,4,2
6,3,5
6,2,5
6,1,5
6,0,5
7,11,1
7,10,2
7,9,2
7,8,2
7,7,2
7,6,2
7,5,2
7,4,5
7,3,5
7,2,5
7,1,5
7,0,5
8,12,1
8,11,2
8,10,2
8,9,2
8,8,2
8,7,2
8,6,2
8,5,5
8,4,5
8,3,5
8,2,5
8,1,5
8,0,5
9,15,3
9,16,3
9,17,3
9,18,3
9,19,3
6,20,4
7,20,4
8,20,4
9,20,4
10,20,4
11,20,4
12,20,4
6,21,4
7,21,4
8,21,4
9,21,4
10,21,4
11,21,4
12,21,4
7,22,4
8,22,4
9,22,4
10,22,4
11,22,4
7,23,4
8,23,4
9,23,4
10,23,4
11,23,4
8,24,4
9,24,4
10,24,4
8,25,4
9,25,4
10,25,4
9,26,4
9,12,2
9,11,2
9,10,2
9,9,2
9,8,2
9,7,2
9,6,2
9,5,5
9,4,5
9,3,5
9,2,5
9,1,5
9,0,5
10,11,2
10,10,2
10,9,2
10,8,2
10,7,2
10,6,2
10,5,5
10,4,5
10,3,5
10,2,5
10,1,5
10,0,5
11,15,3
11,16,3
11,17,3
11,18,3
11,19,3
11,20,3
7,21,4
8,21,4
9,21,4
10,21,4
11,21,4
12,21,4
13,21,4
14,21,4
15,21,4
7,22,4
8,22,4
9,22,4
10,22,4
11,22,4
12,22,4
13,22,4
14,22,4
15,22,4
8,23,4
9,23,4
10,23,4
11,23,4
12,23,4
13,23,4
14,23,4
8,24,4
9,24,4
10,24,4
11,24,4
12,24,4
13,24,4
14,24,4
9,25,4
10,25,4
11,25,4
12,25,4
13,25,4
9,26,4
10,26,4
11,26,4
12,26,4
13,26,4
10,27,4
11,27,4
12,27,4
10,28,4
11,28,4
12,28,4
11,11,2
11,10,2
11,9,2
11,8,2
11,7,2
11,6,2
11,5,5
11,4,5
11,3,5
11,2,5
